OMNIWeb Plus Browser Results

Listing for omni2 data from 20240101 to 20251231
Selected parameters:
 1 Dst-index, nT

YEAR DOY HR    1 
2024   1  0     0
2024   1  1     2
2024   1  2     4
2024   1  3     5
2024   1  4     3
2024   1  5     2
2024   1  6     3
2024   1  7     2
2024   1  8     1
2024   1  9     3
2024   1 10     2
2024   1 11    -4
2024   1 12    -3
2024   1 13     0
2024   1 14     6
2024   1 15    -1
2024   1 16   -11
2024   1 17   -24
2024   1 18   -27
2024   1 19   -21
2024   1 20   -16
2024   1 21    -9
2024   1 22   -10
2024   1 23    -7
2024   2  0    -5
2024   2  1    -5
2024   2  2   -13
2024   2  3   -17
2024   2  4   -13
2024   2  5   -13
2024   2  6   -14
2024   2  7   -13
2024   2  8    -9
2024   2  9    -5
2024   2 10    -3
2024   2 11    -6
2024   2 12    -6
2024   2 13    -6
2024   2 14    -9
2024   2 15   -14
2024   2 16   -17
2024   2 17   -14
2024   2 18   -14
2024   2 19   -17
2024   2 20   -14
2024   2 21    -9
2024   2 22    -8
2024   2 23    -8
2024   3  0    -8
2024   3  1    -7
2024   3  2    -3
2024   3  3     1
2024   3  4    -2
2024   3  5     2
2024   3  6    11
2024   3  7     7
2024   3  8     3
2024   3  9    -1
2024   3 10    -4
2024   3 11    -2
2024   3 12    -3
2024   3 13    -5
2024   3 14    -5
2024   3 15     3
2024   3 16     7
2024   3 17    -3
2024   3 18    -6
2024   3 19    -6
2024   3 20   -15
2024   3 21   -19
2024   3 22   -22
2024   3 23   -19
2024   4  0   -18
2024   4  1   -15
2024   4  2   -14
2024   4  3   -11
2024   4  4   -11
2024   4  5   -11
2024   4  6    -8
2024   4  7    -4
2024   4  8    -4
2024   4  9    -2
2024   4 10     2
2024   4 11     1
2024   4 12    -2
2024   4 13    -4
2024   4 14    -9
2024   4 15   -15
2024   4 16   -14
2024   4 17   -13
2024   4 18   -15
2024   4 19   -17
2024   4 20   -16
2024   4 21   -15
2024   4 22   -15
2024   4 23   -12
2024   5  0   -10
2024   5  1   -12
2024   5  2   -15
2024   5  3   -17
2024   5  4   -18
2024   5  5   -18
