OMNIWeb Plus Browser Results

Listing for omni_min data from 20150317 to 20150318
Selected parameters:
 1 SYM/H, nT

YYYY DOY HR MN    1 
2015  76  0  0    15
2015  76  0  1    15
2015  76  0  2    15
2015  76  0  3    14
2015  76  0  4    14
2015  76  0  5    14
2015  76  0  6    14
2015  76  0  7    15
2015  76  0  8    15
2015  76  0  9    16
2015  76  0 10    18
2015  76  0 11    18
2015  76  0 12    18
2015  76  0 13    17
2015  76  0 14    17
2015  76  0 15    17
2015  76  0 16    17
2015  76  0 17    16
2015  76  0 18    15
2015  76  0 19    15
2015  76  0 20    15
2015  76  0 21    14
2015  76  0 22    15
2015  76  0 23    15
2015  76  0 24    15
2015  76  0 25    15
2015  76  0 26    15
2015  76  0 27    15
2015  76  0 28    15
2015  76  0 29    15
2015  76  0 30    16
2015  76  0 31    16
2015  76  0 32    16
2015  76  0 33    17
2015  76  0 34    16
2015  76  0 35    16
2015  76  0 36    15
2015  76  0 37    14
2015  76  0 38    14
2015  76  0 39    13
2015  76  0 40    13
2015  76  0 41    13
2015  76  0 42    12
2015  76  0 43    12
2015  76  0 44    11
2015  76  0 45    12
2015  76  0 46    11
2015  76  0 47    11
2015  76  0 48    11
2015  76  0 49    11
2015  76  0 50    12
2015  76  0 51    11
2015  76  0 52    11
2015  76  0 53    11
2015  76  0 54    11
2015  76  0 55    11
2015  76  0 56    12
2015  76  0 57    11
2015  76  0 58    12
2015  76  0 59    12
2015  76  1  0    12
2015  76  1  1    12
2015  76  1  2    12
2015  76  1  3    12
2015  76  1  4    12
2015  76  1  5    13
2015  76  1  6    13
2015  76  1  7    13
2015  76  1  8    13
2015  76  1  9    13
2015  76  1 10    14
2015  76  1 11    14
2015  76  1 12    14
2015  76  1 13    15
2015  76  1 14    15
2015  76  1 15    15
2015  76  1 16    15
2015  76  1 17    15
2015  76  1 18    15
2015  76  1 19    14
2015  76  1 20    14
2015  76  1 21    14
2015  76  1 22    14
2015  76  1 23    14
2015  76  1 24    14
2015  76  1 25    14
2015  76  1 26    14
2015  76  1 27    13
2015  76  1 28    13
2015  76  1 29    13
2015  76  1 30    13
2015  76  1 31    13
2015  76  1 32    13
2015  76  1 33    13
2015  76  1 34    13
2015  76  1 35    13
2015  76  1 36    13
2015  76  1 37    13
2015  76  1 38    13
2015  76  1 39    13
2015  76  1 40    13
2015  76  1 41    13
2015  76  1 42    13
2015  76  1 43    13
2015  76  1 44    13
2015  76  1 45    13
2015  76  1 46    13
2015  76  1 47    13
2015  76  1 48    13
2015  76  1 49    13
2015  76  1 50    13
2015  76  1 51    13
2015  76  1 52    14
2015  76  1 53    14
2015  76  1 54    15
2015  76  1 55    16
2015  76  1 56    17
2015  76  1 57    18
2015  76  1 58    18
2015  76  1 59    17
2015  76  2  0    15
2015  76  2  1    14
2015  76  2  2    13
2015  76  2  3    13
2015  76  2  4    13
2015  76  2  5    13
2015  76  2  6    13
2015  76  2  7    13
2015  76  2  8    13
2015  76  2  9    13
2015  76  2 10    13
2015  76  2 11    13
2015  76  2 12    13
2015  76  2 13    13
2015  76  2 14    13
2015  76  2 15    13
2015  76  2 16    14
2015  76  2 17    15
2015  76  2 18    15
2015  76  2 19    16
2015  76  2 20    16
2015  76  2 21    16
2015  76  2 22    16
2015  76  2 23    16
2015  76  2 24    16
2015  76  2 25    16
2015  76  2 26    16
2015  76  2 27    16
2015  76  2 28    17
2015  76  2 29    17
2015  76  2 30    17
2015  76  2 31    16
2015  76  2 32    15
2015  76  2 33    15
2015  76  2 34    14
2015  76  2 35    14
2015  76  2 36    14
2015  76  2 37    14
2015  76  2 38    13
2015  76  2 39    13
2015  76  2 40    13
2015  76  2 41    13
2015  76  2 42    13
2015  76  2 43    13
2015  76  2 44    14
2015  76  2 45    14
2015  76  2 46    15
2015  76  2 47    15
2015  76  2 48    15
2015  76  2 49    15
2015  76  2 50    15
2015  76  2 51    15
2015  76  2 52    14
2015  76  2 53    13
2015  76  2 54    13
2015  76  2 55    13
2015  76  2 56    13
2015  76  2 57    14
2015  76  2 58    14
2015  76  2 59    13
2015  76  3  0    13
2015  76  3  1    13
2015  76  3  2    14
2015  76  3  3    14
2015  76  3  4    13
2015  76  3  5    13
2015  76  3  6    13
2015  76  3  7    13
2015  76  3  8    12
2015  76  3  9    12
2015  76  3 10    12
2015  76  3 11    12
2015  76  3 12    12
2015  76  3 13    12
2015  76  3 14    12
2015  76  3 15    12
2015  76  3 16    12
2015  76  3 17    11
2015  76  3 18    11
2015  76  3 19    10
2015  76  3 20    11
2015  76  3 21    11
2015  76  3 22    11
2015  76  3 23    12
2015  76  3 24    12
2015  76  3 25    12
2015  76  3 26    12
2015  76  3 27    13
2015  76  3 28    13
2015  76  3 29    12
2015  76  3 30    11
2015  76  3 31    11
2015  76  3 32    11
2015  76  3 33    11
2015  76  3 34    12
2015  76  3 35    12
2015  76  3 36    12
2015  76  3 37    12
2015  76  3 38    12
2015  76  3 39    11
2015  76  3 40    11
2015  76  3 41    12
2015  76  3 42    12
2015  76  3 43    12
2015  76  3 44    13
2015  76  3 45    13
2015  76  3 46    13
2015  76  3 47    13
2015  76  3 48    14
2015  76  3 49    14
2015  76  3 50    14
2015  76  3 51    14
2015  76  3 52    14
2015  76  3 53    14
2015  76  3 54    14
2015  76  3 55    13
2015  76  3 56    12
2015  76  3 57    12
2015  76  3 58    13
2015  76  3 59    13
2015  76  4  0    14
2015  76  4  1    14
2015  76  4  2    14
2015  76  4  3    13
2015  76  4  4    12
2015  76  4  5    12
2015  76  4  6    13
2015  76  4  7    13
2015  76  4  8    12
2015  76  4  9    12
2015  76  4 10    12
2015  76  4 11    11
2015  76  4 12    11
2015  76  4 13    11
2015  76  4 14    12
2015  76  4 15    12
2015  76  4 16    12
2015  76  4 17    13
2015  76  4 18    13
2015  76  4 19    13
2015  76  4 20    12
2015  76  4 21    12
2015  76  4 22    12
2015  76  4 23    12
2015  76  4 24    12
2015  76  4 25    11
2015  76  4 26    12
2015  76  4 27    12
2015  76  4 28    12
2015  76  4 29    12
2015  76  4 30    13
2015  76  4 31    13
2015  76  4 32    13
2015  76  4 33    14
2015  76  4 34    13
2015  76  4 35    13
2015  76  4 36    15
2015  76  4 37    15
2015  76  4 38    16
2015  76  4 39    16
2015  76  4 40    15
2015  76  4 41    15
2015  76  4 42    15
2015  76  4 43    15
2015  76  4 44    15
2015  76  4 45    17
2015  76  4 46    32
2015  76  4 47    60
2015  76  4 48    67
2015  76  4 49    63
2015  76  4 50    59
2015  76  4 51    57
2015  76  4 52    57
2015  76  4 53    58
2015  76  4 54    57
2015  76  4 55    54
2015  76  4 56    54
2015  76  4 57    53
2015  76  4 58    53
2015  76  4 59    52
2015  76  5  0    51
2015  76  5  1    50
2015  76  5  2    52
2015  76  5  3    53
2015  76  5  4    55
2015  76  5  5    57
2015  76  5  6    59
2015  76  5  7    60
2015  76  5  8    60
2015  76  5  9    60
2015  76  5 10    60
2015  76  5 11    61
2015  76  5 12    63
2015  76  5 13    63
2015  76  5 14    63
2015  76  5 15    60
2015  76  5 16    59
2015  76  5 17    59
2015  76  5 18    60
2015  76  5 19    60
2015  76  5 20    61
2015  76  5 21    58
2015  76  5 22    54
2015  76  5 23    51
2015  76  5 24    50
2015  76  5 25    52
2015  76  5 26    52
2015  76  5 27    52
2015  76  5 28    53
2015  76  5 29    53
2015  76  5 30    52
2015  76  5 31    52
2015  76  5 32    51
2015  76  5 33    51
2015  76  5 34    52
2015  76  5 35    53
2015  76  5 36    54
2015  76  5 37    54
2015  76  5 38    54
2015  76  5 39    52
2015  76  5 40    48
2015  76  5 41    47
2015  76  5 42    50
2015  76  5 43    54
2015  76  5 44    56
2015  76  5 45    55
2015  76  5 46    54
2015  76  5 47    57
2015  76  5 48    58
2015  76  5 49    58
2015  76  5 50    60
2015  76  5 51    62
2015  76  5 52    61
2015  76  5 53    55
2015  76  5 54    52
2015  76  5 55    49
2015  76  5 56    46
2015  76  5 57    46
2015  76  5 58    51
2015  76  5 59    52
2015  76  6  0    50
2015  76  6  1    48
2015  76  6  2    48
2015  76  6  3    49
2015  76  6  4    49
2015  76  6  5    49
2015  76  6  6    49
2015  76  6  7    50
2015  76  6  8    50
2015  76  6  9    49
2015  76  6 10    47
2015  76  6 11    47
2015  76  6 12    48
2015  76  6 13    50
2015  76  6 14    48
2015  76  6 15    46
2015  76  6 16    46
2015  76  6 17    48
2015  76  6 18    46
2015  76  6 19    47
2015  76  6 20    46
2015  76  6 21    47
2015  76  6 22    47
2015  76  6 23    45
2015  76  6 24    43
2015  76  6 25    43
2015  76  6 26    42
2015  76  6 27    40
2015  76  6 28    38
2015  76  6 29    38
2015  76  6 30    36
2015  76  6 31    35
2015  76  6 32    35
2015  76  6 33    32
2015  76  6 34    29
2015  76  6 35    26
2015  76  6 36    25
2015  76  6 37    24
2015  76  6 38    21
2015  76  6 39    18
2015  76  6 40    17
2015  76  6 41    16
2015  76  6 42    15
2015  76  6 43    14
2015  76  6 44    11
2015  76  6 45    10
2015  76  6 46     8
2015  76  6 47     7
2015  76  6 48     6
2015  76  6 49     4
2015  76  6 50     5
2015  76  6 51    10
2015  76  6 52     4
2015  76  6 53    -1
2015  76  6 54    -2
2015  76  6 55    -2
2015  76  6 56    -1
2015  76  6 57    -2
2015  76  6 58    -5
2015  76  6 59    -6
2015  76  7  0    -8
2015  76  7  1   -13
2015  76  7  2   -11
2015  76  7  3    -8
2015  76  7  4    -8
2015  76  7  5    -9
2015  76  7  6   -11
2015  76  7  7   -11
2015  76  7  8   -11
2015  76  7  9   -12
2015  76  7 10   -12
2015  76  7 11   -11
2015  76  7 12   -12
2015  76  7 13   -13
2015  76  7 14   -13
2015  76  7 15   -13
2015  76  7 16   -14
2015  76  7 17   -14
2015  76  7 18   -14
2015  76  7 19   -13
2015  76  7 20   -14
2015  76  7 21   -15
2015  76  7 22   -16
2015  76  7 23   -17
2015  76  7 24   -18
2015  76  7 25   -19
2015  76  7 26   -19
2015  76  7 27   -20
2015  76  7 28   -20
2015  76  7 29   -20
