OMNIWeb Plus Browser Results

Listing for omni_min data from 20170907 to 20170908
Selected parameters:
 1 SYM/H, nT

YYYY DOY HR MN    1 
2017 250  0  0    42
2017 250  0  1    42
2017 250  0  2    42
2017 250  0  3    42
2017 250  0  4    41
2017 250  0  5    42
2017 250  0  6    43
2017 250  0  7    43
2017 250  0  8    43
2017 250  0  9    42
2017 250  0 10    42
2017 250  0 11    43
2017 250  0 12    43
2017 250  0 13    43
2017 250  0 14    44
2017 250  0 15    45
2017 250  0 16    46
2017 250  0 17    46
2017 250  0 18    44
2017 250  0 19    42
2017 250  0 20    43
2017 250  0 21    44
2017 250  0 22    48
2017 250  0 23    48
2017 250  0 24    50
2017 250  0 25    47
2017 250  0 26    44
2017 250  0 27    42
2017 250  0 28    43
2017 250  0 29    44
2017 250  0 30    48
2017 250  0 31    49
2017 250  0 32    48
2017 250  0 33    48
2017 250  0 34    47
2017 250  0 35    46
2017 250  0 36    46
2017 250  0 37    48
2017 250  0 38    50
2017 250  0 39    51
2017 250  0 40    52
2017 250  0 41    51
2017 250  0 42    52
2017 250  0 43    55
2017 250  0 44    56
2017 250  0 45    55
2017 250  0 46    56
2017 250  0 47    52
2017 250  0 48    51
2017 250  0 49    49
2017 250  0 50    49
2017 250  0 51    48
2017 250  0 52    48
2017 250  0 53    48
2017 250  0 54    46
2017 250  0 55    47
2017 250  0 56    46
2017 250  0 57    46
2017 250  0 58    46
2017 250  0 59    47
2017 250  1  0    48
2017 250  1  1    48
2017 250  1  2    50
2017 250  1  3    51
2017 250  1  4    52
2017 250  1  5    52
2017 250  1  6    53
2017 250  1  7    52
2017 250  1  8    52
2017 250  1  9    51
2017 250  1 10    50
2017 250  1 11    49
2017 250  1 12    49
2017 250  1 13    49
2017 250  1 14    50
2017 250  1 15    50
2017 250  1 16    50
2017 250  1 17    50
2017 250  1 18    49
2017 250  1 19    49
2017 250  1 20    49
2017 250  1 21    48
2017 250  1 22    48
2017 250  1 23    50
2017 250  1 24    51
2017 250  1 25    52
2017 250  1 26    52
2017 250  1 27    51
2017 250  1 28    51
2017 250  1 29    50
2017 250  1 30    50
2017 250  1 31    50
2017 250  1 32    50
2017 250  1 33    50
2017 250  1 34    52
2017 250  1 35    54
2017 250  1 36    55
2017 250  1 37    54
2017 250  1 38    54
2017 250  1 39    55
2017 250  1 40    55
2017 250  1 41    53
2017 250  1 42    52
2017 250  1 43    50
2017 250  1 44    48
2017 250  1 45    47
2017 250  1 46    47
2017 250  1 47    47
2017 250  1 48    48
2017 250  1 49    49
2017 250  1 50    49
2017 250  1 51    50
2017 250  1 52    49
2017 250  1 53    48
2017 250  1 54    47
2017 250  1 55    46
2017 250  1 56    45
2017 250  1 57    44
2017 250  1 58    44
2017 250  1 59    44
2017 250  2  0    43
2017 250  2  1    42
2017 250  2  2    41
2017 250  2  3    41
2017 250  2  4    41
2017 250  2  5    41
2017 250  2  6    41
2017 250  2  7    42
2017 250  2  8    43
2017 250  2  9    44
2017 250  2 10    45
2017 250  2 11    45
2017 250  2 12    45
2017 250  2 13    45
2017 250  2 14    44
2017 250  2 15    44
2017 250  2 16    44
2017 250  2 17    44
2017 250  2 18    44
2017 250  2 19    44
2017 250  2 20    45
2017 250  2 21    44
2017 250  2 22    45
2017 250  2 23    45
2017 250  2 24    46
2017 250  2 25    46
2017 250  2 26    46
2017 250  2 27    46
2017 250  2 28    47
2017 250  2 29    48
2017 250  2 30    48
2017 250  2 31    47
2017 250  2 32    47
2017 250  2 33    47
2017 250  2 34    48
2017 250  2 35    48
2017 250  2 36    48
2017 250  2 37    47
2017 250  2 38    47
2017 250  2 39    47
2017 250  2 40    46
2017 250  2 41    45
2017 250  2 42    45
2017 250  2 43    45
2017 250  2 44    45
2017 250  2 45    45
2017 250  2 46    45
2017 250  2 47    45
2017 250  2 48    46
2017 250  2 49    45
2017 250  2 50    45
2017 250  2 51    45
2017 250  2 52    44
2017 250  2 53    43
2017 250  2 54    43
2017 250  2 55    42
2017 250  2 56    42
2017 250  2 57    42
2017 250  2 58    41
2017 250  2 59    40
2017 250  3  0    40
2017 250  3  1    39
2017 250  3  2    39
2017 250  3  3    39
2017 250  3  4    38
2017 250  3  5    38
2017 250  3  6    37
2017 250  3  7    38
2017 250  3  8    38
2017 250  3  9    39
2017 250  3 10    39
2017 250  3 11    39
2017 250  3 12    40
2017 250  3 13    39
2017 250  3 14    40
2017 250  3 15    41
2017 250  3 16    40
2017 250  3 17    41
2017 250  3 18    41
2017 250  3 19    41
2017 250  3 20    40
2017 250  3 21    40
2017 250  3 22    40
2017 250  3 23    39
2017 250  3 24    37
2017 250  3 25    37
2017 250  3 26    36
2017 250  3 27    35
2017 250  3 28    34
2017 250  3 29    34
2017 250  3 30    34
2017 250  3 31    34
2017 250  3 32    34
2017 250  3 33    34
2017 250  3 34    33
2017 250  3 35    33
2017 250  3 36    33
2017 250  3 37    33
2017 250  3 38    32
2017 250  3 39    31
2017 250  3 40    30
2017 250  3 41    29
2017 250  3 42    29
2017 250  3 43    28
2017 250  3 44    28
2017 250  3 45    28
2017 250  3 46    27
2017 250  3 47    27
2017 250  3 48    27
2017 250  3 49    26
2017 250  3 50    26
2017 250  3 51    25
2017 250  3 52    25
2017 250  3 53    24
2017 250  3 54    23
2017 250  3 55    23
2017 250  3 56    22
2017 250  3 57    22
2017 250  3 58    22
2017 250  3 59    21
2017 250  4  0    20
2017 250  4  1    19
2017 250  4  2    19
2017 250  4  3    18
2017 250  4  4    18
2017 250  4  5    18
2017 250  4  6    18
2017 250  4  7    18
2017 250  4  8    17
2017 250  4  9    17
2017 250  4 10    17
2017 250  4 11    16
2017 250  4 12    15
2017 250  4 13    14
2017 250  4 14    14
2017 250  4 15    13
2017 250  4 16    13
2017 250  4 17    13
2017 250  4 18    13
2017 250  4 19    13
2017 250  4 20    13
2017 250  4 21    13
2017 250  4 22    12
2017 250  4 23    12
2017 250  4 24    11
2017 250  4 25    11
2017 250  4 26    10
2017 250  4 27    10
2017 250  4 28     9
2017 250  4 29     9
2017 250  4 30    10
2017 250  4 31    10
2017 250  4 32    11
2017 250  4 33    12
2017 250  4 34    13
2017 250  4 35    14
2017 250  4 36    15
2017 250  4 37    16
2017 250  4 38    16
2017 250  4 39    17
2017 250  4 40    17
2017 250  4 41    18
2017 250  4 42    18
2017 250  4 43    19
2017 250  4 44    19
2017 250  4 45    18
2017 250  4 46    17
2017 250  4 47    17
2017 250  4 48    17
2017 250  4 49    17
2017 250  4 50    17
2017 250  4 51    17
2017 250  4 52    17
2017 250  4 53    17
2017 250  4 54    17
2017 250  4 55    18
2017 250  4 56    19
2017 250  4 57    19
2017 250  4 58    20
2017 250  4 59    20
2017 250  5  0    19
2017 250  5  1    19
2017 250  5  2    19
2017 250  5  3    18
2017 250  5  4    19
2017 250  5  5    20
2017 250  5  6    20
2017 250  5  7    18
2017 250  5  8    16
2017 250  5  9    15
2017 250  5 10    15
2017 250  5 11    15
2017 250  5 12    16
2017 250  5 13    17
2017 250  5 14    16
2017 250  5 15    17
2017 250  5 16    16
2017 250  5 17    16
2017 250  5 18    15
2017 250  5 19    14
2017 250  5 20    14
2017 250  5 21    13
2017 250  5 22    13
2017 250  5 23    12
2017 250  5 24    12
2017 250  5 25    12
2017 250  5 26    11
2017 250  5 27    12
2017 250  5 28    12
2017 250  5 29    11
2017 250  5 30    11
2017 250  5 31    11
2017 250  5 32    12
2017 250  5 33    12
2017 250  5 34    11
2017 250  5 35    11
2017 250  5 36    11
2017 250  5 37    10
2017 250  5 38    11
2017 250  5 39    11
2017 250  5 40    11
2017 250  5 41    11
2017 250  5 42    11
2017 250  5 43    11
2017 250  5 44    11
2017 250  5 45    11
2017 250  5 46    11
2017 250  5 47    11
2017 250  5 48    11
2017 250  5 49    11
2017 250  5 50    11
2017 250  5 51    11
2017 250  5 52    11
2017 250  5 53    11
2017 250  5 54    11
2017 250  5 55    11
2017 250  5 56    11
2017 250  5 57    10
2017 250  5 58    10
2017 250  5 59    10
2017 250  6  0     9
2017 250  6  1    10
2017 250  6  2    10
2017 250  6  3    10
2017 250  6  4    10
2017 250  6  5    10
2017 250  6  6    11
2017 250  6  7    10
2017 250  6  8    10
2017 250  6  9    10
2017 250  6 10    10
2017 250  6 11    10
2017 250  6 12    10
2017 250  6 13    10
2017 250  6 14    11
2017 250  6 15    11
2017 250  6 16    11
2017 250  6 17    12
2017 250  6 18    12
2017 250  6 19    12
2017 250  6 20    13
2017 250  6 21    12
2017 250  6 22    13
2017 250  6 23    13
2017 250  6 24    13
2017 250  6 25    13
2017 250  6 26    13
2017 250  6 27    14
2017 250  6 28    13
2017 250  6 29    13
2017 250  6 30    13
2017 250  6 31    12
2017 250  6 32    13
2017 250  6 33    14
2017 250  6 34    15
2017 250  6 35    16
2017 250  6 36    17
2017 250  6 37    18
2017 250  6 38    17
2017 250  6 39    17
2017 250  6 40    17
2017 250  6 41    16
2017 250  6 42    17
2017 250  6 43    18
2017 250  6 44    19
2017 250  6 45    20
2017 250  6 46    21
2017 250  6 47    22
2017 250  6 48    22
2017 250  6 49    21
2017 250  6 50    21
2017 250  6 51    21
2017 250  6 52    19
2017 250  6 53    19
2017 250  6 54    18
2017 250  6 55    18
2017 250  6 56    17
2017 250  6 57    16
2017 250  6 58    15
2017 250  6 59    14
2017 250  7  0    14
2017 250  7  1    13
2017 250  7  2    12
2017 250  7  3    11
2017 250  7  4    11
2017 250  7  5    10
2017 250  7  6     8
2017 250  7  7     6
2017 250  7  8     5
2017 250  7  9     3
2017 250  7 10     3
2017 250  7 11     1
2017 250  7 12     0
