OMNIWeb Plus Browser Results

Listing for omni_min data from 20240509 to 20240511
Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/H, nT

YYYY DOY HR MN      1       2      3     4     5 
2024 130  0  0    1.45   458.3   2.82  1.18     5
2024 130  0  1    1.10   458.5   3.03  1.27     5
2024 130  0  2    0.19   458.5   3.03  1.27     6
2024 130  0  3    0.79 99999.9 999.99 99.99     6
2024 130  0  4    0.93 99999.9 999.99 99.99     5
2024 130  0  5    0.19 99999.9 999.99 99.99     5
2024 130  0  6    0.60   455.4   3.31  1.37     5
2024 130  0  7    0.69   455.4   3.31  1.37     4
2024 130  0  8    0.48   459.1   3.37  1.42     4
2024 130  0  9    0.41   459.1   3.37  1.42     5
2024 130  0 10    0.28 99999.9 999.99 99.99     5
2024 130  0 11    0.14 99999.9 999.99 99.99     5
2024 130  0 12    0.20   458.3   2.98  1.25     5
2024 130  0 13    0.01   458.3   2.98  1.25     5
2024 130  0 14   -0.17   459.8   2.68  1.13     5
2024 130  0 15   -0.11   460.1   2.62  1.11     4
2024 130  0 16   -0.11 99999.9 999.99 99.99     4
2024 130  0 17   -0.22 99999.9 999.99 99.99     4
2024 130  0 18   -0.37 99999.9 999.99 99.99     4
2024 130  0 19   -0.51   458.2   2.91  1.22     4
2024 130  0 20   -0.73   458.2   2.91  1.22     4
2024 130  0 21   -1.17   458.2   2.91  1.22     4
2024 130  0 22   -0.96 99999.9 999.99 99.99     4
2024 130  0 23   -0.10   457.8   2.80  1.17     4
2024 130  0 24    0.88   459.2   2.94  1.24     4
2024 130  0 25    0.88   461.0   2.90  1.23     4
2024 130  0 26    0.99   462.5   2.95  1.26     4
2024 130  0 27    0.68   463.2   2.85  1.22     5
2024 130  0 28    0.59   459.7   2.73  1.15     5
2024 130  0 29    0.66   459.9   2.73  1.15     4
2024 130  0 30    0.92   459.7   2.75  1.16     4
2024 130  0 31    0.80   458.7   2.85  1.20     4
2024 130  0 32    1.30   459.1   2.91  1.23     4
2024 130  0 33    1.32   460.7   2.71  1.15     4
2024 130  0 34    1.37   460.8   2.70  1.15     4
2024 130  0 35    1.32 99999.9 999.99 99.99     4
2024 130  0 36    0.91   459.9   2.95  1.25     4
2024 130  0 37    0.64   459.9   2.95  1.25     4
2024 130  0 38    0.67 99999.9 999.99 99.99     4
2024 130  0 39    0.68 99999.9 999.99 99.99     4
2024 130  0 40    1.26   459.6   2.90  1.23     4
2024 130  0 41    1.51   459.6   2.90  1.23     4
2024 130  0 42    1.53   462.2   2.76  1.18     4
2024 130  0 43    1.50   462.4   2.75  1.18     3
2024 130  0 44    1.38   462.4   2.75  1.18     3
2024 130  0 45    1.10   461.4   2.84  1.21     4
2024 130  0 46    0.76   461.4   2.84  1.21     4
2024 130  0 47    0.47   461.4   2.84  1.21     4
2024 130  0 48    0.32 99999.9 999.99 99.99     4
2024 130  0 49    0.20   454.2   3.20  1.32     4
2024 130  0 50   -0.19   454.2   3.20  1.32     4
2024 130  0 51    0.88   461.3   3.01  1.28     4
2024 130  0 52    1.21   462.3   2.96  1.27     4
2024 130  0 53    1.06   460.2   3.08  1.30     4
2024 130  0 54    1.35   459.8   3.08  1.30     4
2024 130  0 55    1.05 99999.9 999.99 99.99     4
2024 130  0 56    1.17 99999.9 999.99 99.99     4
2024 130  0 57    1.21 99999.9 999.99 99.99     4
2024 130  0 58    0.82 99999.9 999.99 99.99     4
2024 130  0 59    0.93   458.4   2.86  1.20     4
2024 130  1  0    0.63   458.4   2.86  1.20     4
2024 130  1  1    1.00   460.5   2.99  1.27     4
2024 130  1  2    0.82   460.5   2.99  1.27     3
2024 130  1  3    0.59   460.5   2.99  1.27     4
2024 130  1  4    0.87 99999.9 999.99 99.99     4
2024 130  1  5    0.51 99999.9 999.99 99.99     3
2024 130  1  6    0.77 99999.9 999.99 99.99     4
2024 130  1  7    0.53 99999.9 999.99 99.99     3
2024 130  1  8    0.31 99999.9 999.99 99.99     3
2024 130  1  9    0.40 99999.9 999.99 99.99     3
2024 130  1 10    0.08 99999.9 999.99 99.99     3
2024 130  1 11    0.13 99999.9 999.99 99.99     3
2024 130  1 12    0.91   464.0   2.67  1.15     4
2024 130  1 13    0.64   464.0   2.67  1.15     3
2024 130  1 14    0.74   464.1   2.57  1.11     3
2024 130  1 15    0.73   464.1   2.57  1.11     3
2024 130  1 16    0.80 99999.9 999.99 99.99     3
2024 130  1 17    0.99   462.2   2.61  1.12     3
2024 130  1 18    1.39   462.2   2.61  1.12     3
2024 130  1 19    1.23   462.2   2.61  1.12     3
2024 130  1 20    1.12   457.4   2.88  1.21     3
2024 130  1 21    1.46   457.4   2.88  1.21     3
2024 130  1 22    1.67   464.9   2.71  1.17     3
2024 130  1 23    0.68   464.9   2.71  1.17     3
2024 130  1 24    0.84   464.9   2.71  1.17     3
2024 130  1 25    0.99   461.9   2.79  1.19     3
2024 130  1 26    0.63   459.8   2.86  1.21     3
2024 130  1 27    0.72   458.0   2.91  1.22     3
2024 130  1 28    0.85   467.8   2.85  1.25     3
2024 130  1 29    0.62   465.2   2.75  1.19     3
2024 130  1 30    0.97   464.7   2.74  1.18     3
2024 130  1 31    0.70   458.7   2.90  1.22     3
2024 130  1 32    1.59   458.7   2.90  1.22     3
2024 130  1 33    1.05 99999.9 999.99 99.99     3
2024 130  1 34    1.56 99999.9 999.99 99.99     3
2024 130  1 35    1.06   460.6   2.85  1.21     3
2024 130  1 36    1.06   460.6   2.85  1.21     3
2024 130  1 37    0.93   460.6   2.85  1.21     3
2024 130  1 38    0.81   463.1   2.60  1.12     3
2024 130  1 39    0.93   462.6   2.91  1.25     3
2024 130  1 40    0.69   462.2   2.72  1.16     3
2024 130  1 41    0.68   470.3   2.81  1.24     4
2024 130  1 42    0.19   464.9   3.20  1.38     3
2024 130  1 43    0.17   462.5   3.27  1.40     4
2024 130  1 44   -0.10   462.9   2.73  1.17     4
2024 130  1 45   -0.14   462.9   2.73  1.17     3
2024 130  1 46   -0.21   462.9   2.73  1.17     3
2024 130  1 47   -0.14   470.2   2.88  1.27     4
2024 130  1 48   -0.22   464.4   2.93  1.26     3
2024 130  1 49   -0.58   457.8   3.04  1.27     3
2024 130  1 50   -0.60   459.1   3.10  1.31     2
2024 130  1 51   -0.62 99999.9 999.99 99.99     3
2024 130  1 52   -0.26   451.9   3.28  1.34     3
2024 130  1 53   -0.79   452.7   3.24  1.33     3
2024 130  1 54   -0.18   459.7   2.84  1.20     3
2024 130  1 55    0.43   459.1   2.70  1.14     4
2024 130  1 56    0.03   457.0   2.62  1.09     3
2024 130  1 57    0.28   457.0   2.62  1.09     3
2024 130  1 58   -0.03 99999.9 999.99 99.99     3
2024 130  1 59    0.35   465.3   2.64  1.14     3
2024 130  2  0    0.58   465.3   2.64  1.14     3
2024 130  2  1    0.65   463.7   2.57  1.11     3
2024 130  2  2   -0.24   462.8   2.55  1.09     3
2024 130  2  3   -0.03   457.4   2.95  1.23     3
2024 130  2  4    0.16   454.7   3.11  1.29     3
2024 130  2  5    0.50   456.4   3.19  1.33     3
2024 130  2  6    0.10   455.4   3.08  1.28     3
2024 130  2  7    0.23   452.9   3.38  1.39     3
2024 130  2  8    0.20   454.0   3.26  1.34     4
2024 130  2  9    0.39   454.5   3.07  1.27     3
2024 130  2 10   -0.19   456.0   2.91  1.21     4
2024 130  2 11    0.28   456.2   2.85  1.19     4
2024 130  2 12    0.07   454.9   3.04  1.26     4
2024 130  2 13   -0.52   461.7   3.11  1.33     4
2024 130  2 14    0.06   461.7   3.11  1.33     4
2024 130  2 15   -1.86   448.2   3.20  1.29     4
2024 130  2 16   -1.09   448.2   3.20  1.29     4
2024 130  2 17   -1.81   448.7   3.19  1.28     4
2024 130  2 18   -1.92   451.8   3.14  1.28     4
2024 130  2 19   -0.67   451.8   3.14  1.28     4
2024 130  2 20   -1.64   455.7   3.04  1.26     4
2024 130  2 21   -1.36   455.7   3.04  1.26     4
2024 130  2 22 9999.99 99999.9 999.99 99.99     4
2024 130  2 23   -1.79 99999.9 999.99 99.99     4
2024 130  2 24   -1.88 99999.9 999.99 99.99     4
2024 130  2 25   -0.89   455.7   3.12  1.30     4
2024 130  2 26   -0.32   455.5   3.12  1.29     4
2024 130  2 27   -0.30   455.6   2.90  1.20     3
2024 130  2 28   -1.56   455.3   2.79  1.16     4
2024 130  2 29   -1.48   455.1   2.88  1.19     3
2024 130  2 30   -1.12   456.1   2.88  1.20     3
2024 130  2 31   -1.21   460.3   2.75  1.17     3
2024 130  2 32   -1.61   461.7   2.71  1.16     3
2024 130  2 33   -0.70   455.3   2.91  1.21     4
2024 130  2 34   -0.15   460.6   2.75  1.17     4
2024 130  2 35    0.27   462.0   2.71  1.16     4
2024 130  2 36    0.69   458.8   2.68  1.13     4
2024 130  2 37    1.06   458.8   2.68  1.13     4
2024 130  2 38    0.70   459.1   2.64  1.11     4
2024 130  2 39    1.23   459.2   2.64  1.11     4
2024 130  2 40    0.99   463.1   2.59  1.11     4
2024 130  2 41    0.95   463.2   2.59  1.11     4
2024 130  2 42    0.50   459.4   2.62  1.11     4
2024 130  2 43    0.66   459.4   2.62  1.11     4
2024 130  2 44    1.05   456.9   2.91  1.21     4
2024 130  2 45    0.51   458.9   2.83  1.19     4
2024 130  2 46    0.57   462.1   2.69  1.15     4
2024 130  2 47    0.30   461.5   2.65  1.13     4
2024 130  2 48   -2.03   459.5   2.87  1.21     4
2024 130  2 49   -0.04   459.5   2.87  1.21     4
2024 130  2 50   -0.37 99999.9 999.99 99.99     4
2024 130  2 51   -0.80 99999.9 999.99 99.99     4
2024 130  2 52    0.89   463.4   2.41  1.04     4
2024 130  2 53   -0.10   463.6   2.55  1.10     4
2024 130  2 54    1.20   463.7   2.66  1.14     4
2024 130  2 55   -0.21   457.8   2.75  1.15     3
2024 130  2 56   -2.60   457.8   2.75  1.15     3
2024 130  2 57   -2.12   456.1   2.91  1.21     3
2024 130  2 58   -2.42   461.7   2.72  1.16     3
2024 130  2 59   -2.20   461.8   2.63  1.12     3
2024 130  3  0   -2.21   461.3   2.61  1.11     3
2024 130  3  1   -1.05 99999.9 999.99 99.99     3
2024 130  3  2   -1.96 99999.9 999.99 99.99     3
2024 130  3  3   -1.82 99999.9 999.99 99.99     2
2024 130  3  4   -1.00   461.9   2.62  1.12     2
2024 130  3  5   -1.21   461.9   2.62  1.12     2
2024 130  3  6   -1.45 99999.9 999.99 99.99     2
2024 130  3  7   -1.45 99999.9 999.99 99.99     2
2024 130  3  8   -1.35 99999.9 999.99 99.99     2
2024 130  3  9   -1.13 99999.9 999.99 99.99     2
2024 130  3 10   -0.96 99999.9 999.99 99.99     2
2024 130  3 11   -1.08 99999.9 999.99 99.99     2
2024 130  3 12   -1.17 99999.9 999.99 99.99     2
2024 130  3 13   -0.93 99999.9 999.99 99.99     2
2024 130  3 14   -1.24   454.7   2.75  1.14     2
2024 130  3 15   -1.11   456.3   2.71  1.13     2
2024 130  3 16   -0.72   461.4   2.53  1.08     2
2024 130  3 17   -1.49   462.8   2.49  1.07     2
2024 130  3 18   -0.83 99999.9 999.99 99.99     2
2024 130  3 19   -0.65 99999.9 999.99 99.99     2
2024 130  3 20   -0.87 99999.9 999.99 99.99     2
2024 130  3 21   -0.89 99999.9 999.99 99.99     2
2024 130  3 22   -0.52 99999.9 999.99 99.99     2
2024 130  3 23   -1.12 99999.9 999.99 99.99     2
2024 130  3 24   -1.22 99999.9 999.99 99.99     2
2024 130  3 25   -1.33 99999.9 999.99 99.99     1
2024 130  3 26   -1.38   453.8   2.84  1.17     1
2024 130  3 27   -2.06   458.0   2.75  1.15     2
2024 130  3 28   -2.08   464.5   2.63  1.13     2
2024 130  3 29   -1.73 99999.9 999.99 99.99     2
2024 130  3 30   -1.06   457.2   3.01  1.26     2
2024 130  3 31   -1.39   457.2   3.01  1.26     2
2024 130  3 32   -2.08   455.2   2.90  1.20     1
2024 130  3 33   -2.37   458.0   2.88  1.21     1
2024 130  3 34   -2.44   456.4   3.08  1.28     1
2024 130  3 35   -2.38   455.8   2.82  1.17     1
2024 130  3 36   -2.13   458.4   2.72  1.14     1
2024 130  3 37   -2.22   456.2   3.10  1.29     1
2024 130  3 38   -2.01   456.3   3.05  1.27     0
2024 130  3 39   -2.21   456.9   2.82  1.18     1
2024 130  3 40   -1.21   458.6   2.88  1.21     1
2024 130  3 41   -0.64   458.6   2.91  1.22     0
2024 130  3 42    0.23   457.7   2.75  1.15     1
2024 130  3 43   -0.08   457.9   2.75  1.15     0
2024 130  3 44    0.64   461.1   2.70  1.15     0
2024 130  3 45    0.39   459.4   2.76  1.16     0
2024 130  3 46    0.75   462.3   2.71  1.16     1
2024 130  3 47    1.31   462.8   2.85  1.22     1
2024 130  3 48    1.32   463.9   2.78  1.20     1
2024 130  3 49    0.97   464.8   2.62  1.13     2
2024 130  3 50    0.94   464.3   2.64  1.14     2
2024 130  3 51    1.26   464.3   2.70  1.16     3
2024 130  3 52    0.18 99999.9 999.99 99.99     4
2024 130  3 53    1.78 99999.9 999.99 99.99     4
2024 130  3 54   -1.32 99999.9 999.99 99.99     4
2024 130  3 55    1.14   464.8   2.79  1.21     4
2024 130  3 56    1.93   464.8   2.79  1.21     4
2024 130  3 57   -1.29 99999.9 999.99 99.99     5
2024 130  3 58    1.72 99999.9 999.99 99.99     5
2024 130  3 59    1.65 99999.9 999.99 99.99     4
2024 130  4  0    1.65 99999.9 999.99 99.99     4
2024 130  4  1    1.17 99999.9 999.99 99.99     4
2024 130  4  2    0.67   454.0   2.89  1.19     4
2024 130  4  3    0.89   454.0   2.89  1.19     4
2024 130  4  4    0.92   454.4   2.88  1.19     4
2024 130  4  5    0.92   459.1   2.71  1.14     4
2024 130  4  6    0.65   458.7   2.70  1.14     4
2024 130  4  7    0.09 99999.9 999.99 99.99     4
2024 130  4  8   -0.69 99999.9 999.99 99.99     3
2024 130  4  9   -1.00 99999.9 999.99 99.99     3
2024 130  4 10   -1.77   457.8   2.73  1.14     3
2024 130  4 11   -2.12   457.6   2.73  1.14     3
2024 130  4 12   -1.68   458.0   3.02  1.27     3
2024 130  4 13   -1.31   457.7   2.91  1.22     2
2024 130  4 14   -1.78   458.1   2.85  1.20     2
2024 130  4 15   -1.28   459.1   2.95  1.24     2
2024 130  4 16   -1.65   459.1   2.95  1.24     2
2024 130  4 17   -2.03 99999.9 999.99 99.99     2
2024 130  4 18   -2.18   458.8   2.93  1.23     2
2024 130  4 19   -2.18   458.8   2.91  1.23     2
2024 130  4 20   -2.29   459.2   2.73  1.15     2
2024 130  4 21   -2.38   458.1   2.63  1.10     2
2024 130  4 22   -2.75   459.0   2.70  1.14     2
2024 130  4 23   -2.89   457.1   2.69  1.12     2
2024 130  4 24   -2.86   457.1   2.69  1.12     2
2024 130  4 25   -2.88 99999.9 999.99 99.99     3
2024 130  4 26   -2.86 99999.9 999.99 99.99     3
2024 130  4 27 9999.99 99999.9 999.99 99.99     3
2024 130  4 28   -2.75 99999.9 999.99 99.99     3
2024 130  4 29   -1.75   453.7   2.93  1.21     2
2024 130  4 30   -2.09   453.7   2.93  1.21     2
2024 130  4 31   -2.30   453.7   2.93  1.21     2
2024 130  4 32   -2.39 99999.9 999.99 99.99     2
2024 130  4 33   -1.96   452.0   2.95  1.21     2
2024 130  4 34   -2.32   452.0   2.95  1.21     3
2024 130  4 35   -2.45 99999.9 999.99 99.99     3
2024 130  4 36   -1.38   458.2   3.12  1.31     4
2024 130  4 37   -0.62   458.2   3.12  1.31     4
2024 130  4 38   -1.48   457.5   2.85  1.19     5
2024 130  4 39   -1.52   458.0   2.84  1.19     5
2024 130  4 40   -1.12   450.4   2.90  1.18     4
2024 130  4 41   -1.12   454.6   2.85  1.18     4
2024 130  4 42   -1.71   456.5   2.72  1.13     4
2024 130  4 43   -1.30   459.0   2.64  1.11     3
2024 130  4 44   -0.61   458.8   2.68  1.13     4
2024 130  4 45    0.13   465.6   2.79  1.21     4
2024 130  4 46    0.12   465.6   2.79  1.21     4
2024 130  4 47    0.31   465.6   2.79  1.21     3
2024 130  4 48    0.43 99999.9 999.99 99.99     2
2024 130  4 49    0.11   465.3   2.88  1.25     2
2024 130  4 50    0.01   465.3   2.88  1.25     2
